ROI,Measure,MAE,RMSE
FullFace,SBP,15.073134328358208,18.27225692503059
FullFace,DBP,10.255223880597015,13.01930254683292
Jidat,SBP,15.400000000000002,18.161826458220204
Jidat,DBP,10.425373134328357,13.045414359877402
PipiKanan,SBP,15.653731343283582,18.764025599972356
PipiKanan,DBP,10.825373134328359,13.362930458838779
PipiKiri,SBP,14.923880597014925,17.912644579204255
PipiKiri,DBP,10.380597014925373,12.916095477661184
Hidung,SBP,15.589552238805974,18.564703309108495
Hidung,DBP,10.459701492537311,13.346149313286483
Dagu,SBP,14.792537313432838,17.682975200466082
Dagu,DBP,10.98955223880597,13.610942700416818
